Date,Open,High,Low,Close,Volume,20 Day Moving Average,10 Day Moving Average,5 Day Moving Average,MACD Line,MACD Signal Line,MACD Histogram,Relative Strength (RS),Relative Strength Index (RSI),Upper Bollinger Band,Lower Bollinger Band,Stochastic Oscillator,Moving Average Stochastic Oscillator,On-Balance Volume,Accumulation/Distribution Line,Directional Index,Average Directional Index ,Tenkan-sen (Conversion Line),Kijun-sen (Base Line),Volume Weighted Average Price,Stop and Reverse (SAR),Acceleration Factor,Extreme Point,Rate of Change,20-day Chaikin Money Flow,Williams R Percent,Aroon Up Indicator,Aroon Down Indicator,Relative Vigor Index,Signal Line (Relative Vigor Index),Money Flow Index,Pivot Point,First Resistance,First Support,Second Resistance,Second Support
11/27/2024,363.8,371.6,361.35,369.3,14225274,386.4075,368.85,364.19,-14.00952193,-12.77920545,-1.230316483,0.4417836499,30.64146621,424.8229886,347.9920114,25.84670232,20.30472795,-35587646,-111551862.1,43.84013379,45.15038524,366.075,350.675,409.0652868,411.7576747,0.02,371.6,-8.385016125,-0.2585699743,-74.15329768,-76,4,-0.3780284043,-0.4657647353,37.76147783,367.4166667,373.4833333,363.2333333,377.6666667,357.1666667
11/28/2024,369.7,371.85,359.6,362.05,16837860,384.315,367.025,365.37,-13.9379913,-13.01096262,-0.9270286798,0.3089970501,23.6056338,423.2739271,345.3560729,12.92335116,16.99346405,-52425506,-121654578.1,45.26793073,45.15878135,366.075,350.675,407.9631901,410.9545212,0.02,359.6,-11.45756909,-0.3067664219,-87.07664884,-80,-4,-0.3446643718,-0.459690632,31.52316484,364.5,369.4,357.15,376.75,352.25
11/29/2024,363.25,365.4,360.2,363.65,14280017,381.89,365.255,365.01,-13.59547594,-13.12786528,-0.4676106604,0.3596491228,26.4516129,419.5706051,344.2093949,17.91497976,18.89501108,-38145489,-116986111,45.26793073,45.16657773,366.075,350.675,407.0412517,409.9274308,0.02,365.4,-9.943041109,-0.3381713951,-82.08502024,-80,-12,-0.3269995581,-0.4455278427,30.67933895,363.0833333,365.9666667,360.7666667,368.2833333,357.8833333
12/2/2024,363.65,363.9,357,358.2,12510350,379.375,363.825,362.97,-13.60694709,-13.22368164,-0.3832654487,0.3637096774,26.67060911,416.283999,342.466001,7.37527115,12.73786736,-50655839,-125145035,48.0679263,45.37381692,364.075,350.125,406.2043304,409.0368822,0.02,357,-9.92078461,-0.3497334155,-92.62472885,-88,-20,-0.3286252354,-0.4318765618,30.10862824,359.7,362.4,355.5,366.6,352.8
12/3/2024,359,370,358.2,367.45,14205760,377.34,363.9,364.13,-12.7229778,-13.12354087,0.4005630758,0.5588752197,35.85118377,411.987649,342.692351,31.625,18.9717503,-36450079,-117079052.6,33.99546343,44.56107738,361.6,348.5,405.3977248,407.9961445,0.02,370,-6.394089925,-0.3312803178,-68.375,-80,-28,-0.13065077,-0.3918446717,36.4184026,365.2166667,372.2333333,360.4333333,377.0166667,353.4166667
12/4/2024,368.95,375.15,368,372.75,22035954,375.93,364.505,364.82,-11.46262604,-12.79135791,1.328731867,0.8309070549,45.382263,408.7807214,343.0792786,54.72560976,31.2419603,-14414125,-109836466.3,23.33767823,43.0451203,361.6,347.475,404.4074255,407.2362216,0.02,375.15,-1.985274783,-0.2818505973,-45.27439024,-88,-36,-0.08532061473,-0.3543803729,44.31752763,371.9666667,375.9333333,368.7833333,379.1166667,364.8166667
12/5/2024,372.75,373.95,364.4,369.15,18758283,374.2325,365.805,366.24,-10.63172223,-12.35943077,1.727708542,0.7471502591,42.76393832,404.5854635,343.8795365,47.20394737,44.51818571,-33172408,-109934677.2,27.66863157,41.94679968,360.6,340.775,403.5406484,406.5944972,0.02,364.4,-3.199160876,-0.286698334,-52.79605263,-96,-44,-0.04345521993,-0.3043258949,44.82618377,369.1666667,373.9333333,364.3833333,378.7166667,359.6166667
12/6/2024,369.45,371.2,368.05,369.5,9736086,372.2625,366.21,367.41,-9.83164976,-11.85387457,2.022224809,0.923857868,48.02110818,397.8878549,346.6371451,58.33333333,53.42096349,-23436322,-110707382.5,27.66863157,40.92693052,356.65,335.075,403.1126149,405.7506073,0.02,371.2,-0.8053691275,-0.3057374042,-41.66666667,-104,-52,-0.1445993031,-0.2714739972,50.3750002,369.5833333,371.1166667,367.9666667,372.7333333,366.4333333
12/9/2024,370.9,373.3,367.75,369.85,10878679,370.565,366.355,369.74,-9.064850535,-11.29606976,2.231219228,1.09375,52.23880597,391.454209,349.675791,63.5021097,56.34646347,-12557643,-113353547.6,22.96879647,39.64420666,354.175,335.075,402.6568899,405.0595951,0.02,373.3,0.859012817,-0.2961331567,-36.4978903,-104,-60,-0.09640024405,-0.2354070588,56.71907184,370.3,372.85,367.3,375.85,364.75
12/10/2024,369,371.2,366.4,369.15,7913822,369.14,367.105,370.08,-8.416619227,-10.72017966,2.303560429,1.071428571,51.72413793,385.6865722,352.5934278,64.0625,61.96598101,-20471465,-112199448.6,24.88320501,38.5898494,351.1,334.025,402.319405,404.4244032,0.02,366.4,0.6681210799,-0.2789978002,-35.9375,-112,-68,0.007832898172,-0.1870910823,50.96279075,368.9166667,371.4333333,366.6333333,373.7166667,364.1166667
12/11/2024,369.25,370.75,364.7,365.5,9998662,367.7875,366.725,368.63,-8.103997897,-10.1969433,2.092945406,1.341240876,57.28760717,380.1770913,355.3979087,45.58139535,57.71533502,-30470127,-119553836.3,27.33231943,37.78574012,350.625,333.8,401.8784177,403.6639152,0.02,364.7,2.625298329,-0.2714623958,-54.41860465,-108,-76,-0.1194751381,-0.1612357557,53.75302701,366.9833333,369.2666667,363.2166667,373.0333333,360.9333333
12/12/2024,366,367,353,355.6,22538216,366.5525,366.08,365.92,-8.556456994,-9.868846042,1.312389048,0.735924933,42.39382239,378.6102765,354.4947235,10.74380165,40.12923233,-53008343,-133720715,41.47508757,38.04926494,348.75,331.925,400.6924388,402.8846369,0.02,353,-2.695307156,-0.2780371547,-89.25619835,-116,-24,-0.153742414,-0.1421435599,44.33922097,358.5333333,364.0666667,350.0666667,372.5333333,344.5333333
12/13/2024,355.75,358.3,348.05,357.15,14269143,365.3425,365.43,363.45,-8.689791533,-9.63303514,0.9432436065,0.6983914209,41.1207577,375.9131782,354.7718218,33.57933579,29.9681776,-38739200,-122653428.4,46.24203098,38.63446251,344.7,327.875,399.9058865,401.8869441,0.02,358.3,-3.053745928,-0.2124144549,-66.42066421,-124,-28,-0.1313131313,-0.1225749173,36.04171056,354.5,360.95,350.7,364.75,344.25
12/16/2024,357.15,358.9,351.7,352.9,12168143,364.3625,364.9,360.06,-9.034258292,-9.51327977,0.4790214782,0.7485632184,42.81018899,375.7424396,352.9825604,17.89667897,20.7399388,-50907343,-130765523.8,44.70349037,39.0679645,344.7,327.875,399.2560046,401.0152052,0.02,351.7,-2.419466335,-0.1996106489,-82.10332103,-128,-36,-0.1157232704,-0.1012847208,38.18492144,354.5,357.3,350.1,361.7,347.3
12/17/2024,352,353.85,347.25,349.05,15646176,363.48,363.06,356.04,-9.508307653,-9.512285347,0.00397769421,0.4760672704,32.25241017,376.6874301,350.2725699,6.451612903,19.30920922,-66553519,-137877421.9,48.98983356,39.77666943,340.625,325.35,398.3667947,400.0289011,0.02,347.25,-5.483346872,-0.1946899486,-93.5483871,-132,-36,-0.2772543742,-0.1159450812,30.46752058,350.05,352.85,346.25,356.65,343.45
12/18/2024,349.55,351,340,341.75,14672392,362.2325,359.96,351.29,-10.35369325,-9.680566927,-0.6731263199,0.4754521964,32.22416813,378.5146916,345.9503084,4.978662873,9.775651581,-81225911,-147881325.6,55.09684528,40.87096771,338.6,323.925,397.4649892,398.9733231,0.02,340,-5.606960365,-0.1866136804,-95.02133713,-136,-40,-0.412028151,-0.1486158348,30.95517809,344.25,348.5,337.5,355.25,333.25
12/19/2024,337,340.6,335.05,337.4,14513129,361.295,356.785,347.65,-11.24505013,-9.993463567,-1.251586561,0.3902439024,28.07017544,380.8766751,341.7133249,5.860349127,5.763541635,-95739040,-150104057.1,58.72980368,42.14659885,335.05,320.675,396.4955765,397.7938566,0.02,335.05,-7.218479307,-0.1461109476,-94.13965087,-140,-44,-0.3803101821,-0.182301331,31.08523709,337.6833333,340.3166667,334.7666667,343.2333333,332.1333333
12/20/2024,337.8,343.9,331,333.25,20375797,359.685,353.16,342.87,-12.14631207,-10.42403327,-1.722278803,0.4023952096,28.69342442,382.8037575,336.5662425,5.096262741,5.311758247,-116114837,-163372017.9,61.47610548,43.5272779,335.05,320.675,395.1500806,396.5389795,0.02,331,-6.965382468,-0.2272613631,-94.90373726,-144,-48,-0.3909415971,-0.2069355604,30.04196686,336.05,341.1,328.2,348.95,323.15
12/23/2024,335.9,338.25,330.5,333.65,8884187,357.9475,349.54,339.02,-12.68210063,-10.87564674,-1.806453893,0.1904191617,15.99597586,383.4126769,332.4823231,7.054871221,6.003827696,-107230650,-165034220.6,61.81394942,44.83346872,335.35,320.675,394.5635708,395.2281999,0.02,338.25,-9.198530412,-0.1882155029,-92.94512878,-148,-52,-0.3948896632,-0.2367845023,23.36551506,334.1333333,337.7666667,330.0166667,341.8833333,326.3833333
12/24/2024,335.1,336.85,331.75,335.3,7755462,356.63,346.155,336.27,-12.8257287,-11.26566313,-1.560065571,0.102994012,9.337676439,383.9477868,329.3122132,11.04718067,7.732771543,-99475188,-161992863,61.81394942,46.0463602,335.35,320.675,394.0648779,394.0886359,0.02,338.25,-10.04694836,-0.1509540758,-88.95281933,-152,-60,-0.3929398148,-0.2768617736,16.4552606,334.6333333,337.5166667,332.4166667,339.7333333,329.5333333
12/26/2024,335.3,337.4,332.25,334.65,9030212,354.8975,343.07,334.85,-12.84394752,-11.58132001,-1.262627509,0.1108247423,9.976798144,383.2089348,326.5860652,9.696261682,9.266104523,-108505400,-162606566.7,60.02362349,47.04473615,334.8,320.675,393.4958528,392.9718632,0.02,332.25,-9.345794393,-0.1843074703,-90.30373832,-148,-68,-0.3608187135,-0.3009961312,22.75076841,334.7666667,337.2833333,332.1333333,339.9166667,329.6166667
12/27/2024,336.65,340,334.2,335,9090597,353.545,341.01,334.37,-12.68393152,-11.80184231,-0.8820892082,0.1108247423,9.976798144,382.979922,324.110078,10.51401869,10.41915368,-99414803,-169189412.8,51.4907073,47.36230552,333.175,320.675,392.9495748,391.7574259,0.02,340,-9.336941813,-0.1765380907,-89.48598131,-156,-76,-0.2858990944,-0.3142117992,22.0272344,336.4,338.6,332.8,342.2,330.6
12/30/2024,335,336.8,327.4,331.4,36657549,351.9325,338.435,334,-12.70119612,-11.98171307,-0.7194830456,0.09316037736,8.522114347,382.5464163,321.3185837,9.132420091,9.780900155,-136072352,-174649047.8,57.8248807,48.10963231,332.15,320.675,390.6804458,390.7222774,0.02,327.4,-10.39610653,-0.1977205243,-90.86757991,-164,-68,-0.3544800523,-0.3365284913,13.18304459,331.8666667,336.3333333,326.9333333,341.2666667,322.4666667
12/31/2024,330.1,334.6,326.2,333.35,8580998,350.69,336.48,333.94,-12.41442398,-12.06825526,-0.3461687275,0.1414868106,12.39495798,382.2358163,319.1441837,16.04938272,11.89860717,-127491354,-168621918.2,58.84613213,48.87652516,326.05,320.675,390.1692501,389.4558319,0.02,334.6,-9.697954761,-0.1511139586,-83.95061728,-144,-72,-0.2524146813,-0.3501976324,13.19827368,331.3833333,336.5666667,328.1666667,339.7833333,322.9833333
1/1/2025,333,334.65,328.8,333.65,7843971,349,334.94,333.61,-12.02433842,-12.05947189,0.03513347023,0.1629434954,14.01129944,380.3863866,317.6136134,18.25980392,14.48053558,-119647383,-163459646.7,58.67372516,49.57632516,320.675,320.675,389.7173005,388.3587152,0.02,334.65,-8.714090287,-0.1648516551,-81.74019608,-152,-80,-0.2080624187,-0.3432784368,17.44601961,332.3666667,335.9333333,330.0833333,338.2166667,326.5166667
1/2/2025,333.65,338.6,330,338,16543382,347.2625,334.565,334.28,-11.23467778,-11.89451307,0.659835287,0.3747779751,27.26098191,376.9124201,317.6125799,36.08562691,23.46493785,-103104001,-149224643.6,45.26037925,49.26804331,320.675,320.675,388.8382808,387.2845409,0.02,338.6,-4.949381327,-0.1427858605,-63.91437309,-160,-88,-0.05167785235,-0.307243407,27.08813813,335.5333333,341.0666667,332.4666667,344.1333333,326.9333333
1/3/2025,338.05,344.5,337.05,339.85,8689629,345.7975,334.81,335.25,-10.34038893,-11.58368824,1.24329931,0.3854351687,27.82051282,373.7401758,317.8548242,41.74311927,32.0295167,-94414372,-151382470.9,27.87242082,47.73978456,320.675,320.675,388.4295755,386.3108501,0.02,344.5,-4.843903122,-0.1559440961,-58.25688073,-168,-96,-0.03206806283,-0.2724191951,32.96251341,340.4666667,343.8833333,336.4333333,347.9166667,333.0166667
1/6/2025,341.7,341.7,326.45,327.5,10538077,343.6975,334.235,334.47,-10.50708127,-11.36836684,0.8612855788,0.2993103448,23.03609342,370.426382,316.968618,4.701627486,27.51012455,-104952449,-160469402.9,41.43590824,47.28950768,319.275,319.275,387.8560455,385.4746331,0.02,326.45,-7.197506376,-0.186662486,-95.29837251,-176,-104,-0.1536507937,-0.2486901147,31.14827566,331.8833333,337.3166667,322.0666667,347.1333333,316.6333333
1/7/2025,327,330.35,325.1,328.6,13891401,341.635,333.73,333.52,-10.43019257,-11.18073199,0.7505394202,0.3688271605,26.94475761,366.1404688,317.1295312,13.51351351,19.98608676,-91061048,-155838935.9,42.90840642,46.97657187,313.675,317.55,387.0665383,384.2941404,0.02,330.35,-5.85875949,-0.1575861994,-86.48648649,-184,-92,-0.1081967213,-0.2200208205,31.60604013,328.0166667,330.9333333,325.6833333,333.2666667,322.7666667
1/8/2025,330.5,330.5,321.85,325.4,8993608,339.4475,332.74,331.87,-10.5063602,-11.04585763,0.5394974319,0.4222614841,29.68944099,361.2758127,317.6191873,15.67328918,11.29614339,-100054656,-157450507.3,46.4022555,46.93554928,316.925,317.55,386.5486234,383.2152576,0.02,321.85,-4.784198976,-0.1671750277,-84.32671082,-192,-96,-0.1697994987,-0.1977067889,32.71338892,325.9166667,329.9833333,321.3333333,334.5666667,317.2666667
1/9/2025,324.05,325.95,319.8,320.35,12403467,337.19,331.31,328.34,-10.8491541,-11.00651692,0.1573628287,0.4120689655,29.18192918,356.9107505,317.4692495,2.226720648,10.47117445,-112458123,-167635468,48.54142367,47.05025459,317.55,317.55,385.803735,381.9879525,0.02,319.8,-5.05334914,-0.1760680274,-97.77327935,-196,-100,-0.2054455446,-0.182169472,33.21098143,322.0333333,324.2666667,318.1166667,328.1833333,315.8833333
1/10/2025,320.35,321,307.6,308.25,15941143,334.8225,328.635,322.02,-11.95932989,-11.19707952,-0.7622503753,0.3234100135,24.43762781,356.5083303,313.1366697,1.761517615,6.553842482,-128399266,-182030082.2,59.02305044,47.90545429,317.55,317.55,384.7287172,380.7441934,0.02,307.6,-7.501875469,-0.1812812708,-98.23848238,-196,-104,-0.3059954751,-0.1841791101,34.28629622,312.2833333,316.9666667,303.5666667,325.6833333,298.8833333
1/13/2025,301.1,309.95,296.85,298.2,29630336,331.875,325.315,316.16,-13.49454649,-11.65657291,-1.837973576,0.2457446809,19.72672929,356.5955114,307.1544886,2.833158447,2.273798903,-158029602,-205553402.4,65.66046126,49.17366908,317.55,315.525,382.5309503,379.2813096,0.02,296.85,-10.62490634,-0.2941283488,-97.16684155,-204,-108,-0.286102063,-0.1773413112,31.07287225,301.6666667,306.4833333,293.3833333,314.7666667,288.5666667
1/14/2025,300.45,312.7,300.2,310.4,22732888,329.75,323.02,312.52,-13.57034813,-12.03932796,-1.531020178,0.470212766,31.98263386,354.1655041,305.3344959,28.43651626,11.01039744,-135296714,-191186217.1,58.58382497,49.84582307,319.225,315.525,381.0434287,377.6326834,0.02,312.7,-7.426185506,-0.2066269417,-71.56348374,-208,-116,-0.2042619543,-0.1725260385,35.52757269,307.7666667,315.3333333,302.8333333,320.2666667,295.2666667
1/15/2025,312.55,324.3,312.55,321.35,21894626,328.365,321.79,311.71,-12.60158477,-12.15177932,-0.4498054527,0.7130528587,41.62468514,351.2664387,305.4635613,51.41657922,27.56208464,-113402088,-180285488.5,32.81149649,48.62908546,325.4,315.525,379.8843968,376.3340297,0.02,324.3,-3.974301509,-0.1419931082,-48.58342078,-212,-124,-0.1126346719,-0.1629832638,39.0792092,319.4,326.25,314.5,331.15,307.65
1/16/2025,324.7,327.3,321.65,325.5,14865186,327.5525,320.54,312.74,-11.3679202,-11.9950075,0.6270872927,0.7950377562,44.29086538,349.5912571,305.5137429,60.12591815,46.65967121,-98536902,-174891925.4,27.06037109,47.088463,323.2,315.525,379.1902846,375.2933491,0.02,327.3,-2.835820896,-0.09038008904,-39.87408185,-216,-132,-0.1517902168,-0.1729945002,40.539849,324.8166667,327.9833333,322.3333333,330.4666667,319.1666667
1/17/2025,325.3,329,323.35,326.15,7129232,326.99,319.17,316.32,-10.21997309,-11.64000062,1.420027526,0.8771929825,46.72897196,348.5393216,305.4406784,61.49003148,57.67750962,-91407670,-174955015.9,23.78913385,45.4242252,323.2,315.525,378.8716766,374.3334821,0.02,329,-1.584188292,-0.08526026641,-38.50996852,-216,-140,-0.1643554186,-0.1862232358,50.40629098,326.1666667,328.9833333,323.3333333,331.8166667,320.5166667
1/20/2025,326.2,337,324.55,336.05,17991880,327.13,320.025,323.89,-8.414373805,-10.99487525,2.580501448,1.063157895,51.53061224,348.8859526,305.3740474,82.26652676,67.96082546,-73415790,-159708884.7,9.501865869,42.85834239,323.2,315.525,378.1794865,373.4268125,0.02,337,0.809959502,0.01267135037,-17.73347324,-224,-148,0.08514013749,-0.1623441427,56.96060964,332.5333333,340.5166667,328.0666667,344.9833333,320.0833333
1/21/2025,337.8,338.25,323.8,324.3,12774630,326.6625,319.595,326.67,-7.841162129,-10.36413263,2.5229705,0.828440367,45.30858003,348.2295527,305.0954473,57.60755509,67.12137111,-86190420,-171599457.3,7.415745692,40.32672834,323.2,315.525,377.661083,372.6982762,0.02,323.8,-2.802337779,-0.02240861258,-42.39244491,-228,-156,-0.06795180723,-0.1583196513,51.84731505,328.7833333,333.7666667,319.3166667,343.2333333,314.3333333
1/22/2025,327,327,317.35,322.4,11068145,326.0175,319.295,326.88,-7.45427364,-9.782160831,2.327887191,0.7234042553,41.97530864,347.2661353,304.7688647,53.6201469,64.49807625,-97258565,-171083326.1,16.27887794,38.60902474,316.95,311.35,377.1617771,371.7203107,0.02,317.35,-4.615384615,-0.03068086607,-46.3798531,-232,-164,-0.06252983294,-0.1475926847,45.07235867,322.25,327.15,317.5,331.9,312.6
1/23/2025,321,325.1,319.55,323.65,6477347,325.4675,319.625,326.51,-6.966491791,-9.219027023,2.252535232,0.7127659574,41.61490683,346.3414645,304.5935355,59.75473802,56.99414667,-90781218,-167990538.8,16.27887794,37.01401426,316.95,311.35,376.8764335,370.6329045,0.02,325.1,-4.766808886,-0.0183291588,-40.24526198,-196,-172,-0.001920307249,-0.127240161,44.3487787,322.7666667,325.9833333,320.4333333,328.3166667,317.2166667
1/24/2025,324.8,329.9,322.1,323.65,7492600,324.9,321.165,326.01,-6.504936305,-8.67620888,2.171272574,0.912599319,47.71513353,345.2944007,304.5055993,64.73429952,59.36972815,-90781218,-172505310.6,7.40477286,34.89906844,316.95,311.35,376.5648541,369.7222464,0.02,322.1,-1.175572519,-0.01135036882,-35.26570048,-204,-180,0.1090816844,-0.08573244501,48.83375247,325.2166667,328.3333333,320.5333333,333.0166667,317.4166667
1/27/2025,323.65,325.05,315,322.2,13803855,324.44,323.565,323.24,-6.184857947,-8.177938693,1.993080746,0.8593406593,46.21749409,344.6311028,304.2488972,61.23188406,61.90697386,-104585073,-166530507.7,17.44140121,33.65209221,315.4,311.275,375.9514668,368.7698015,0.02,315,-1.947656726,0.03014834768,-38.76811594,-212,-188,0.1277486911,-0.0443473696,48.93115143,320.75,326.5,316.45,330.8,310.7
1/28/2025,322.5,323.85,308.15,318.25,22008929,323.685,324.35,322.03,-6.178701307,-7.778091216,1.599389909,0.8454054054,45.81136497,343.6006669,303.7693331,51.69082126,59.21900161,-126594002,-160222216,25.79803816,33.09108835,315.4,311.275,374.9320022,367.6944055,0.02,308.15,-2.197295636,0.02971091768,-48.30917874,-220,-196,-0.02026342452,-0.02594751662,46.05484049,316.75,325.35,309.65,332.45,301.05
1/29/2025,320,322.9,313.3,321.25,16056888,323.065,324.34,321.8,-5.86414894,-7.395302761,1.531153821,1.02184466,50.54021609,342.439158,303.690842,58.93719807,57.28663446,-110537114,-149684883.2,25.79803816,32.5701562,315.4,315.8,374.2398938,366.5035173,0.02,322.9,0.2809427189,0.0473477941,-41.06280193,-228,-204,-0.09891248058,-0.02457529749,52.64515887,319.15,325,315.4,328.75,309.55
1/30/2025,322.25,326.8,321.15,323,10375720,322.315,324.09,321.67,-5.411275729,-6.998497354,1.587221625,1.506872852,60.10966415,340.3713475,304.2586525,63.16425121,57.93075684,-100161394,-153265883.9,17.91690449,31.52349536,315.4,315.8,373.8375174,365.631447,0.02,326.8,4.785077048,-0.01419176219,-36.83574879,-236,-212,-0.09943034697,-0.01933931051,58.81595357,323.65,326.15,320.5,329.3,318
1/31/2025,322.45,326.25,317.55,324,13195557,321.5225,323.875,321.74,-4.915021496,-6.581802183,1.666780687,2.354330709,70.18779343,337.6238394,305.4211606,62.54927727,61.55024218,-86965837,-146895615,22.72920545,30.89533179,313.125,315.8,373.3244252,364.8548181,0.02,326.8,8.651911469,0.01551120219,-37.45072273,-244,-220,-0.08935742972,-0.01183951162,63.148198,322.6,327.65,318.95,331.3,313.9
2/3/2025,310.1,314.05,304,311.25,15881217,320.71,321.395,319.55,-5.487300698,-6.362901886,0.8756011876,1.02672956,50.65942591,337.1771475,304.2428525,21.16788321,48.96047056,-102847054,-139863633.4,37.56604443,31.37181127,311.525,315.8,372.5675416,364.0937217,0.02,304,0.2738402062,0.06994285188,-78.83211679,-252,-228,-0.1810699588,-0.03846052125,53.90179703,309.7666667,315.5333333,305.4833333,319.8166667,299.7166667
2/4/2025,314.85,320.45,310.3,319.1,12141064,320.235,320.875,319.72,-5.246923427,-6.139706194,0.8927827671,0.929245283,48.16625917,336.2866961,304.1833039,44.08759124,42.60158391,-90705990,-130952212,25.32575474,30.93995009,310.7,315.8,372.0627589,362.8918473,0.02,320.45,-0.7001711529,0.08497871615,-55.91240876,-260,-236,0.001614639397,-0.03150387659,51.41320052,316.6166667,322.9333333,312.7833333,326.7666667,306.4666667
